plot_id,treatment,carbon
0040-00002,control,115.4347745
0040-00003,control,39.35877818
0040-00005,control,94.11345818
0040-00012,control,61.34222182
0040-00101,control,35.99500364
0040-00103,control,56.71106182
0040-00104,control,68.5908
0040-00105,control,146.2558582
0040-00106,control,80.03114182
0040-00107,control,74.78009455
0040-00108,control,56.77294909
0040-00109,control,113.0070873
0040-00110,control,63.59938909
0040-00111,control,97.80744
0040-00112,control,133.8564655
0040-00113,control,57.51233455
0040-00114,control,181.7777782
0040-00116,control,102.9768327
0060-00021,burn,14.54638909
0060-00027,burn,37.80315273
0060-00101,burn,36.74402182
0060-00102,burn,80.54306182
0060-00103,burn,33.43537091
0060-00104,burn,24.59623636
0060-00105,burn,18.89254909
0060-00106,burn,39.68189455
0060-00107,burn,36.34576364
0060-00109,burn,20.18894182
0060-00111,burn,43.02677455
0060-00112,burn,21.37364727
0060-00113,burn,40.53478909
0060-00114,burn,22.29970909
0060-00116,burn,24.09258545
0060-00117,burn,22.89185455
0060-00119,burn,31.67281091
0180-00008,mechburn,32.90626909
0180-00010,mechburn,5.073425455
0180-00018,mechburn,3.302792727
0180-00101,mechburn,8.380898182
0180-00102,mechburn,6.860018182
0180-00107,mechburn,6.555
0180-00108,mechburn,5.024509091
0180-00109,mechburn,6.588818182
0180-00110,mechburn,26.22381818
0180-00111,mechburn,7.7562
0180-00114,mechburn,5.313032727
0190-00010,mech,73.71801818
0190-00024,mech,80.37331636
0190-00025,mech,37.37593091
0190-00026,mech,32.37129818
0190-00102,mech,28.24754182
0190-00106,mech,191.1455782
0190-00108,mech,29.98077818
0190-00110,mech,72.65539636
0190-00111,mech,37.85566909
0240-00003,control,100.7080036
0240-00005,control,36.19558909
0240-00007,control,55.44574909
0240-00009,control,86.28464727
0240-00022,control,86.87245091
0240-00026,control,92.27108727
0240-00101,control,37.20166909
0240-00102,control,107.3545855
0240-00104,control,67.78988727
0240-00105,control,64.98270545
0240-00106,control,164.5080218
0240-00107,control,55.04161091
0240-00109,control,77.42654182
0240-00110,control,61.98446182
0240-00112,control,93.39238909
0240-00113,control,49.70757818
0240-00114,control,113.3362145
0240-00115,control,74.40990545
0340-00006,burn,25.24250182
0340-00013,burn,34.73600727
0340-00024,burn,48.20235273
0340-00025,burn,38.19733091
0340-00026,burn,26.13476727
0340-00103,burn,66.47794909
0340-00104,burn,39.79813091
0340-00108,burn,28.84327636
