treatment,plot_id,total_dead_fire_resist,total_live_carbon_fire_resist,dead_fire_resist_in_total_live_fire_resist
burn,0060-00021,1.443979473,55.57328904,0.025983337
burn,0060-00027,0.296039597,0.298063191,0.993210856
burn,0060-00101,0,0,0
burn,0060-00102,2.060736657,123.544541,0.016680111
burn,0060-00103,1.086726182,21.0463275,0.051634955
burn,0060-00104,2.707885136,27.66971939,0.097864568
burn,0060-00105,1.271493107,42.73888528,0.029750264
burn,0060-00106,1.389739658,37.52192732,0.037038067
burn,0060-00107,0.206352207,0.245124463,0.841826248
burn,0060-00109,3.25153139,113.5562142,0.028633672
burn,0060-00111,1.535735198,54.69709323,0.02807709
burn,0060-00112,0,0,0
burn,0060-00113,1.57214827,67.85235862,0.023170134
burn,0060-00114,1.349672121,138.2901359,0.009759714
burn,0060-00116,0,0,0
burn,0060-00117,5.424984584,213.6789983,0.025388478
burn,0060-00119,2.532344122,59.31787716,0.042691078
burn,0340-00006,0,0,0
burn,0340-00013,0,0,0
burn,0340-00024,0,0,0
burn,0340-00025,0,0,0
burn,0340-00026,0,0,0
burn,0340-00103,0,0,0
burn,0340-00104,0,0,0
burn,0340-00108,0.243440501,0.45082935,0.539983702
burn,0340-00109,1.316104731,33.61418006,0.03915326
burn,0340-00111,0,0,0
burn,0340-00112,4.445281568,263.5943113,0.016864103
burn,0340-00113,2.773810719,181.7257888,0.015263715
burn,0340-00114,0,0,0
burn,0340-00115,1.079803028,34.6832942,0.031133232
burn,0340-00116,0,0,0
burn,0340-00117,0,0,0
burn,0340-00121,3.013471079,71.83902007,0.041947553
burn,0340-00122,0,0,0
burn,0340-00123,4.851463948,252.8015799,0.019190798
burn,0340-00124,2.637610375,121.3299274,0.021739157
burn,0400-00002,0.997963428,0.997963428,1
burn,0400-00009,1.341786934,46.81511689,0.028661403
burn,0400-00022,1.437515882,42.24294711,0.034029725
burn,0400-00023,0,0,0
burn,0400-00024,1.215022795,43.33742841,0.028036338
burn,0400-00101,2.642631475,101.6747905,0.02599102
burn,0400-00102,1.643799092,1.643799092,1
burn,0400-00103,4.482123727,139.3792434,0.032157756
burn,0400-00104,1.453132683,28.818246,0.05042405
burn,0400-00105,2.745494209,75.23047623,0.036494441
burn,0400-00106,5.143011944,250.3033438,0.020547116
burn,0400-00108,4.672546037,222.1659285,0.021031785
burn,0400-00109,4.953481366,178.7180931,0.027716731
burn,0400-00110,4.315113963,127.6404675,0.033806786
burn,0400-00116,8.335179325,98.40715939,0.084700944
burn,0400-00118,0.308210154,0.356638255,0.864209461
burn,0400-00119,1.056709494,11.61865983,0.090949344
burn,0400-00120,2.181036484,132.6555095,0.016441356
burn,0400-00121,5.477278322,185.297941,0.029559305
control,0040-00002,0.275739477,0.275739477,1
control,0040-00003,3.425957725,164.3879192,0.02084069
control,0040-00005,74.13309807,76.28004567,0.971854401
control,0040-00012,0,0,0
control,0040-00101,0,0,0
control,0040-00103,1.94276782,85.79561137,0.02264414
control,0040-00104,3.997138161,188.2024336,0.021238504
control,0040-00105,166.0773866,170.9098276,0.971725201
control,0040-00106,1.570100283,68.81586098,0.022815965
control,0040-00107,0,0,0
control,0040-00108,0.885507504,0.88856969,0.996553802
control,0040-00109,2.308629001,125.2445561,0.018432969
control,0040-00110,0,0,0
control,0040-00111,1.16105574,33.38654801,0.034776154
control,0040-00112,0.076073896,0.076199709,0.998348904
control,0040-00113,0,0,0
control,0040-00114,0,0,0
control,0040-00116,0,0,0
control,0240-00003,73.20936574,91.60830481,0.799156429
