treatment,plot_id,total_survive,total_survive_fire_resist
burn,0060-00021,144.8318113,54.12930956
burn,0060-00027,82.34499973,0.002023594
burn,0060-00101,0,0
burn,0060-00102,168.4294817,121.4838044
burn,0060-00103,131.4698252,19.95960132
burn,0060-00104,126.0042935,24.96183426
burn,0060-00105,145.7591711,41.46739217
burn,0060-00106,165.9217335,36.13218767
burn,0060-00107,82.05727853,0.038772256
burn,0060-00109,256.8394436,110.3046828
burn,0060-00111,153.8561891,53.16135803
burn,0060-00112,140.1376628,0
burn,0060-00113,167.9976986,66.28021035
burn,0060-00114,236.5864416,136.9404638
burn,0060-00116,138.7364724,0
burn,0060-00117,252.2965316,208.2540137
burn,0060-00119,243.5348861,56.78553304
burn,0340-00006,137.7488216,0
burn,0340-00013,138.3490394,0
burn,0340-00024,262.8905099,0
burn,0340-00025,125.7907428,0
burn,0340-00026,64.12033464,0
burn,0340-00103,4.709312036,0
burn,0340-00104,141.7239154,0
burn,0340-00108,93.6997365,0.207388849
burn,0340-00109,118.5992897,32.29807532
burn,0340-00111,101.1261568,0
burn,0340-00112,443.6776691,259.1490298
burn,0340-00113,178.9736416,178.9519781
burn,0340-00114,216.0513886,0
burn,0340-00115,131.634828,33.60349117
burn,0340-00116,158.9363996,0
burn,0340-00117,111.8856899,0
burn,0340-00121,211.152469,68.82554899
burn,0340-00122,126.8806166,0
burn,0340-00123,339.2801796,247.950116
burn,0340-00124,121.5342255,118.6923171
burn,0400-00002,45.64733508,0
burn,0400-00009,145.3346197,45.47332996
burn,0400-00022,237.6716026,40.80543123
burn,0400-00023,61.13142702,0
burn,0400-00024,247.412609,42.12240562
burn,0400-00101,165.8711364,99.03215907
burn,0400-00102,114.420855,0
burn,0400-00103,192.9947654,134.8971196
burn,0400-00104,132.4477246,27.36511332
burn,0400-00105,288.1793742,72.48498202
burn,0400-00106,393.7824797,245.1603318
burn,0400-00108,217.4933825,217.4933825
burn,0400-00109,197.0820477,173.7646118
burn,0400-00110,170.3104641,123.3253536
burn,0400-00116,164.4835503,90.07198006
burn,0400-00118,138.0208687,0.048428101
burn,0400-00119,84.4344674,10.56195034
burn,0400-00120,222.1679362,130.474473
burn,0400-00121,278.2039359,179.8206627
control,0040-00002,4.429844141,0
control,0040-00003,259.2099777,160.9619615
control,0040-00005,4.128389323,2.146947605
control,0040-00012,2.248354349,0
control,0040-00101,196.0925018,0
control,0040-00103,349.4852706,83.85284355
control,0040-00104,309.9563942,184.2052955
control,0040-00105,9.015743319,4.832441042
control,0040-00106,198.8884028,67.24576069
control,0040-00107,0,0
control,0040-00108,1.604008333,0.003062187
control,0040-00109,439.9834369,122.9359271
control,0040-00110,519.5992992,0
control,0040-00111,232.322,32.22549227
control,0040-00112,143.3011827,0.000125813
control,0040-00113,0,0
control,0040-00114,52.99843494,0
control,0040-00116,139.6268608,0
control,0240-00003,26.31601902,18.39893907
control,0240-00005,0.739429036,0.019571034
control,0240-00007,129.4285161,70.86774018
control,0240-00009,2.074311497,0.039625588
control,0240-00022,0,0
control,0240-00026,213.6494762,67.54101911
control,0240-00101,149.34403,0
control,0240-00102,321.2528243,157.6088027
control,0240-00104,0,0
control,0240-00105,225.8354427,130.4284838
control,0240-00106,0,0
control,0240-00107,113.1360317,72.88282823
control,0240-00109,125.1520517,53.30449275
control,0240-00110,1.327278906,0
control,0240-00112,61.42565948,0.000512133
control,0240-00113,0,0
control,0240-00114,279.4874524,208.3088594
control,0240-00115,0,0
control,0590-00005,38.00366398,34.60405826
control,0590-00009,0,0
control,0590-00013,210.699875,53.89871316
control,0590-00021,90.2574004,0.000645994
control,0590-00101,52.38947415,0
