treatment,plot_id,total_survive,survive_large
burn,0060-00021,144.8318113,112.9263862
burn,0060-00027,82.34499973,0
burn,0060-00101,0,0
burn,0060-00102,168.4294817,121.4838044
burn,0060-00103,131.4698252,76.67567613
burn,0060-00104,126.0042935,68.59474122
burn,0060-00105,145.7591711,84.74736869
burn,0060-00106,165.9217335,0
burn,0060-00107,82.05727853,52.86505004
burn,0060-00109,256.8394436,176.273678
burn,0060-00111,153.8561891,104.6418637
burn,0060-00112,140.1376628,41.77015489
burn,0060-00113,167.9976986,143.7153138
burn,0060-00114,236.5864416,200.3890971
burn,0060-00116,138.7364724,65.35227711
burn,0060-00117,252.2965316,228.2623648
burn,0060-00119,243.5348861,123.4426511
burn,0340-00006,137.7488216,128.1353775
burn,0340-00013,138.3490394,53.73712753
burn,0340-00024,262.8905099,97.25241602
burn,0340-00025,125.7907428,45.04450604
burn,0340-00026,64.12033464,0
burn,0340-00103,4.709312036,4.232121469
burn,0340-00104,141.7239154,75.13984
burn,0340-00108,93.6997365,0
burn,0340-00109,118.5992897,53.20309519
burn,0340-00111,101.1261568,70.61340508
burn,0340-00112,443.6776691,417.5030698
burn,0340-00113,178.9736416,178.9519781
burn,0340-00114,216.0513886,211.7170714
burn,0340-00115,131.634828,0
burn,0340-00116,158.9363996,124.4126674
burn,0340-00117,111.8856899,85.35436155
burn,0340-00121,211.152469,160.4084029
burn,0340-00122,126.8806166,45.35023422
burn,0340-00123,339.2801796,225.4453388
burn,0340-00124,121.5342255,118.490784
burn,0400-00002,45.64733508,0
burn,0400-00009,145.3346197,45.47332996
burn,0400-00022,237.6716026,167.6796596
burn,0400-00023,61.13142702,0
burn,0400-00024,247.412609,155.9583066
burn,0400-00101,165.8711364,132.5768421
burn,0400-00102,114.420855,58.9424286
burn,0400-00103,192.9947654,134.3545483
burn,0400-00104,132.4477246,49.0561589
burn,0400-00105,288.1793742,229.9168766
burn,0400-00106,393.7824797,291.4103128
burn,0400-00108,217.4933825,176.9014481
burn,0400-00109,197.0820477,48.276925
burn,0400-00110,170.3104641,98.17271652
burn,0400-00116,164.4835503,131.413942
burn,0400-00118,138.0208687,36.90162375
burn,0400-00119,84.4344674,0
burn,0400-00120,222.1679362,127.4599872
burn,0400-00121,278.2039359,150.611968
control,0040-00002,4.429844141,1.703475283
control,0040-00003,259.2099777,205.3977301
control,0040-00005,4.128389323,2.960423145
control,0040-00012,2.248354349,0
control,0040-00101,196.0925018,64.92482753
control,0040-00103,349.4852706,282.6307899
control,0040-00104,309.9563942,232.8000147
control,0040-00105,9.015743319,6.567498823
control,0040-00106,198.8884028,105.6369372
control,0040-00107,0,0
control,0040-00108,1.604008333,0
control,0040-00109,439.9834369,400.5828156
control,0040-00110,519.5992992,415.9278288
control,0040-00111,232.322,113.2602551
control,0040-00112,143.3011827,101.9151102
control,0040-00113,0,0
control,0040-00114,52.99843494,39.53432107
control,0040-00116,139.6268608,0
control,0240-00003,26.31601902,24.91022858
control,0240-00005,0.739429036,0
control,0240-00007,129.4285161,70.72982582
control,0240-00009,2.074311497,1.705764881
control,0240-00022,0,0
control,0240-00026,213.6494762,199.4223004
control,0240-00101,149.34403,42.53717264
control,0240-00102,321.2528243,237.1392077
control,0240-00104,0,0
control,0240-00105,225.8354427,143.477296
control,0240-00106,0,0
control,0240-00107,113.1360317,91.2396148
control,0240-00109,125.1520517,47.88031498
control,0240-00110,1.327278906,0
control,0240-00112,61.42565948,0
control,0240-00113,0,0
control,0240-00114,279.4874524,199.7505127
control,0240-00115,0,0
control,0590-00005,38.00366398,34.60405826
control,0590-00009,0,0
control,0590-00013,210.699875,122.9855067
control,0590-00021,90.2574004,40.80783139
control,0590-00101,52.38947415,0
control,0590-00102,179.7450905,101.5495891
control,0590-00104,123.7602739,0
control,0590-00105,235.2252966,165.4176004
control,0590-00106,335.1528603,252.3168791
control,0590-00107,0,0
control,0590-00109,399.5917594,310.2137669
control,0590-00111,14.51076542,12.08424555
control,0590-00113,63.47870129,0
control,0590-00115,187.2329281,147.5027426
control,0590-00116,127.4666559,0
control,0590-00117,97.05707344,82.20382825
control,0590-00118,312.9721708,273.2156298
mech,0190-00010,143.5110383,115.1725096
mech,0190-00024,190.4945169,149.3790141
mech,0190-00025,90.05436666,90.05436666
mech,0190-00026,147.1927264,118.3288912
mech,0190-00102,271.7121319,267.358885
mech,0190-00106,53.3811219,0
mech,0190-00108,99.08324431,72.06042826
mech,0190-00110,145.8555873,101.7315751
mech,0190-00111,227.3017403,193.4199175
mech,0350-00002,164.7554724,124.9217601
mech,0350-00003,97.42988574,57.47583828
mech,0350-00005,232.9791973,232.3713027
mech,0350-00101,79.55362839,0
mech,0350-00102,131.8231468,82.50251023
mech,0350-00103,150.0980371,0
mech,0350-00105,123.7223004,42.79812934
mech,0350-00106,138.3034543,48.25350991
mech,0350-00109,138.4772207,86.00359972
mech,0350-00110,111.5925267,96.75897096
mech,0350-00111,376.7575688,364.5048799
mech,0350-00112,160.0982928,97.88822127
mech,0350-00113,74.81074763,41.37482229
mech,0350-00115,69.6900366,37.67947115
mech,0350-00116,250.4792765,242.8946925
mech,0350-00117,140.2415307,114.6254443
mech,0350-00119,171.8837438,123.8909257
mech,0490-00004,83.52759175,41.77077845
mech,0490-00008,132.8891934,113.7984297
mech,0490-00018,68.03312825,61.80114474
mech,0490-00020,53.70514804,0
mech,0490-00033,94.67317494,48.09294577
mech,0490-00035,152.908421,149.4668027
mech,0490-00041,349.860686,330.8153793
mech,0490-00042,107.4112766,76.14518575
mech,0490-00102,254.2353219,252.9192462
mech,0490-00103,262.5587808,190.8810945
mech,0490-00104,251.4519673,248.964556
mech,0490-00105,159.4240449,157.0783955
mech,0490-00110,108.7734346,87.76857452
mech,0490-00115,339.5575157,299.0048299
mech,0490-00117,184.3928026,150.0193925
mech,0490-00120,123.0024514,98.0028907
mech,0490-00122,217.4708691,177.0927889
mech,0490-00124,97.29385487,55.86408298
mech,0490-00125,106.1626,77.59974238
mech,0490-00126,192.9814881,129.8349553
mechburn,0180-00008,64.75694424,64.75694424
mechburn,0180-00010,43.13105953,43.13105953
mechburn,0180-00018,81.53673139,51.66103878
mechburn,0180-00101,0,0
mechburn,0180-00102,165.8237688,165.8237688
mechburn,0180-00107,257.2776432,245.5484341
mechburn,0180-00108,186.7647873,133.3168713
mechburn,0180-00109,143.8764861,42.34726035
mechburn,0180-00110,4.666191881,0
mechburn,0180-00111,129.154035,87.96801788
mechburn,0180-00114,193.0582894,171.8088729
mechburn,0380-00002,65.66244434,0
mechburn,0380-00004,205.3928886,99.00486753
mechburn,0380-00006,109.0580982,77.65687451
mechburn,0380-00010,102.5731356,39.86980188
mechburn,0380-00015,142.8549029,129.5068686
mechburn,0380-00102,129.8437451,129.8437451
mechburn,0380-00103,0,0
mechburn,0380-00104,128.0179006,63.62326845
mechburn,0380-00107,140.9765493,84.81884944
mechburn,0380-00110,121.2116179,121.2116179
mechburn,0380-00112,133.120685,81.91988678
mechburn,0380-00113,17.37117442,0
mechburn,0380-00114,230.1749549,230.1749549
mechburn,0380-00117,201.7173312,201.7173312
mechburn,0380-00118,133.9816081,117.041716
mechburn,0380-00119,218.3827374,211.7413688
mechburn,0380-00120,248.6310513,195.1219845
mechburn,0380-00125,112.8830307,79.09776196
mechburn,0380-00127,0,0
mechburn,0570-00011,79.24493702,0
mechburn,0570-00013,124.3841376,38.83572551
mechburn,0570-00017,196.4375842,178.1861162
mechburn,0570-00023,184.5902889,131.2283611
mechburn,0570-00025,31.33362056,0
mechburn,0570-00101,165.184494,119.1064082
mechburn,0570-00102,82.32047194,36.90858214
mechburn,0570-00103,144.348516,108.7533075
mechburn,0570-00104,80.51892411,55.65516459
mechburn,0570-00105,138.6788109,67.48439763
mechburn,0570-00106,248.0395198,207.8140809
mechburn,0570-00107,183.6606627,120.8183657
mechburn,0570-00110,105.8408478,85.39685393
mechburn,0570-00111,117.6676806,42.88391348
mechburn,0570-00112,124.5145289,0
mechburn,0570-00113,158.7442473,127.2215532
mechburn,0570-00115,97.60465497,50.45599176
mechburn,0570-00119,106.2310926,0
