treatment,plot_id,dead_large,total_large_live_carbon,dead_large_in_total_live_large
burn,0060-00021,8.812372988,121.7387592,0.07238757
burn,0060-00027,0,0,0
burn,0060-00101,0,0,0
burn,0060-00102,2.060736657,123.544541,0.016680111
burn,0060-00103,2.424278191,79.09995432,0.030648288
burn,0060-00104,2.301494734,70.89623595,0.032462862
burn,0060-00105,3.539708905,88.2870776,0.040093171
burn,0060-00106,0,0,0
burn,0060-00107,2.386822844,55.25187288,0.043198949
burn,0060-00109,5.901356778,182.1750348,0.032393883
burn,0060-00111,3.903505225,108.545369,0.035961969
burn,0060-00112,2.365094625,44.13524951,0.053587431
burn,0060-00113,5.101112781,148.8164265,0.034277888
burn,0060-00114,2.819699347,203.2087964,0.013875872
burn,0060-00116,2.747037907,68.09931502,0.040338701
burn,0060-00117,3.911700322,232.1740651,0.016848136
burn,0060-00119,5.081838884,128.52449,0.039539849
burn,0340-00006,4.369535117,132.5049126,0.032976401
burn,0340-00013,2.56692692,56.30405446,0.045590445
burn,0340-00024,8.729332621,105.9817486,0.082366377
burn,0340-00025,1.329133576,46.37363961,0.028661403
burn,0340-00026,0,0,0
burn,0340-00103,132.0215685,136.2536899,0.968939399
burn,0340-00104,1.60337437,76.74321437,0.020892718
burn,0340-00108,0,0,0
burn,0340-00109,1.412592134,54.61568732,0.02586422
burn,0340-00111,3.391206225,74.0046113,0.045824256
burn,0340-00112,11.63126106,429.1343309,0.02710401
burn,0340-00113,2.773810719,181.7257888,0.015263715
burn,0340-00114,6.4144923,218.1315637,0.02940653
burn,0340-00115,0,0,0
burn,0340-00116,3.210117481,127.6227849,0.025153169
burn,0340-00117,5.035683825,90.39004537,0.055710602
burn,0340-00121,6.61247783,167.0208808,0.039590725
burn,0340-00122,2.443345437,47.79357965,0.05112288
burn,0340-00123,3.967226066,229.4125649,0.017292976
burn,0340-00124,2.039471096,120.5302551,0.016920823
burn,0400-00002,0,0,0
burn,0400-00009,1.341786934,46.81511689,0.028661403
burn,0400-00022,4.631598009,172.3112577,0.026879254
burn,0400-00023,0,0,0
burn,0400-00024,5.377679915,161.3359865,0.033332179
burn,0400-00101,3.766075302,136.3429174,0.027622082
burn,0400-00102,1.420887096,60.3633157,0.023538917
burn,0400-00103,2.288945129,136.6434934,0.016751219
burn,0400-00104,1.261219273,50.31737817,0.025065282
burn,0400-00105,8.679058904,238.5959355,0.036375552
burn,0400-00106,6.493237241,297.90355,0.021796441
burn,0400-00108,3.465534998,180.3669831,0.019213799
burn,0400-00109,1.279220925,49.55614592,0.025813568
burn,0400-00110,3.918290869,102.0910074,0.038380372
burn,0400-00116,3.058956324,134.4728984,0.022747753
burn,0400-00118,1.235871013,38.13749476,0.032405668
burn,0400-00119,0,0,0
burn,0400-00120,2.181036484,129.6410237,0.01682366
burn,0400-00121,4.392078948,155.0040469,0.028335253
control,0040-00002,39.36205579,41.06553107,0.958518124
control,0040-00003,5.960253327,211.3579834,0.028199802
control,0040-00005,126.6739055,129.6343286,0.977163278
control,0040-00012,0,0,0
control,0040-00101,6.891470812,71.81629835,0.095959705
control,0040-00103,9.552734051,292.1835239,0.032694294
control,0040-00104,6.709406126,239.5094209,0.02801312
control,0040-00105,304.0540988,310.6215976,0.978856915
control,0040-00106,3.96485231,109.6017896,0.036175069
control,0040-00107,0,0,0
control,0040-00108,0,0,0
control,0040-00109,10.36623304,410.9490486,0.025225105
control,0040-00110,7.883864749,423.8116935,0.018602282
control,0040-00111,4.124724064,117.3849792,0.035138432
control,0040-00112,4.011821761,105.9269319,0.037873482
control,0040-00113,196.7757302,196.7757302,1
control,0040-00114,33.98969392,73.52401499,0.462293768
control,0040-00116,0,0,0
