,StandID,Year,PTorch_Sev,Mortality_BA_Sev,treatment
1,0060-00107,2020,0.962696791,9,burn
2,0060-00116,2020,0.016764039,8,burn
3,0340-00103,2020,0.234784022,96,burn
4,0340-00121,2020,0.90223968,15,burn
5,0400-00116,2020,0,3,burn
6,0060-00021,2020,0,7,burn
7,0060-00027,2020,0.999904215,7,burn
8,0060-00101,2020,0,100,burn
9,0060-00102,2020,0,7,burn
10,0060-00103,2020,0.000119749,6,burn
11,0060-00104,2020,0.477086484,9,burn
12,0060-00105,2020,0.00010101,8,burn
13,0060-00106,2020,1.29E-07,9,burn
14,0060-00109,2020,0.000165822,5,burn
15,0060-00111,2020,0,6,burn
16,0060-00112,2020,0,8,burn
17,0060-00113,2020,0.933333695,4,burn
18,0060-00114,2020,0,2,burn
19,0060-00117,2020,0.078355916,6,burn
20,0060-00119,2020,0,6,burn
21,0340-00006,2020,0.917308569,12,burn
22,0340-00013,2020,0.184640914,12,burn
23,0340-00024,2020,0,12,burn
24,0340-00025,2020,0.00019615,8,burn
25,0340-00026,2020,0.966667116,22,burn
26,0340-00104,2020,0.806007445,10,burn
27,0340-00108,2020,0.45032239,22,burn
28,0340-00109,2020,0,16,burn
29,0340-00111,2020,2.40E-05,6,burn
30,0340-00112,2020,0,3,burn
31,0340-00113,2020,6.15E-05,1,burn
32,0340-00114,2020,0.999998569,4,burn
33,0340-00115,2020,2.18E-05,7,burn
34,0340-00116,2020,0.934596956,10,burn
35,0340-00117,2020,0.900000274,11,burn
36,0340-00122,2020,0.123475172,13,burn
37,0340-00123,2020,0.131375074,5,burn
38,0340-00124,2020,0.116461217,5,burn
39,0400-00002,2020,0.733333528,9,burn
40,0400-00009,2020,0.022588264,12,burn
41,0400-00022,2020,0,3,burn
42,0400-00023,2020,0.297131777,27,burn
43,0400-00024,2020,0,3,burn
44,0400-00101,2020,0,6,burn
45,0400-00102,2020,0.933333218,7,burn
46,0400-00103,2020,0.506510377,8,burn
47,0400-00104,2020,0,9,burn
48,0400-00105,2020,8.84E-08,5,burn
49,0400-00106,2020,0,6,burn
50,0400-00108,2020,0,2,burn
