"","treatment","timestep","comp","plot_id","tree_carbon","understory_carbon","fuels_carbon","soil_carbon","all_carbon","treatment_factor","timestep_factor"
"1","burn","post_18",60,"0060-00021",157.98342068231,0.128919375,14.884521974132,46.3876696817035,219.384531713145,"burn","post_18"
"2","burn","post_18",60,"0060-00027",90.4070113969824,0.773516248,18.18415804275,42.1603918798549,151.525077567587,"burn","post_18"
"3","burn","post_18",60,"0060-00101",103.607063036167,0,34.457618582665,113.264986420834,251.329668039666,"burn","post_18"
"4","burn","post_18",60,"0060-00102",188.202703774577,0.773516248,108.089244328804,82.0579080107472,379.123372362128,"burn","post_18"
"5","burn","post_18",60,"0060-00103",143.424270620799,3.249268241,29.94957143546,82.7010160775189,259.324126374778,"burn","post_18"
"6","burn","post_18",60,"0060-00104",138.411746992626,0,14.74698933314,46.5167341858071,199.675470511574,"burn","post_18"
"7","burn","post_18",60,"0060-00105",167.010846519911,0,21.396606643109,58.6567683562514,247.064221519271,"burn","post_18"
"8","burn","post_18",60,"0060-00106",184.806641725829,0,47.68732057333,74.3972687637963,306.891231062955,"burn","post_18"
"9","burn","post_18",60,"0060-00107",91.0701608132328,0.773516248,28.20646102852,74.4987653309228,194.548903420676,"burn","post_18"
"10","burn","post_18",60,"0060-00109",269.863332143533,0,24.956006372873,67.6186922104511,362.438030726858,"burn","post_18"
"11","burn","post_18",60,"0060-00111",165.662293156629,0,60.042046082765,62.9259140616557,288.63025330105,"burn","post_18"
"12","burn","post_18",60,"0060-00112",152.105901239977,0,20.343824626895,59.5633701437011,232.013096010573,"burn","post_18"
"13","burn","post_18",60,"0060-00113",175.247970545215,3.248768241,24.725495505553,49.322664782388,252.544899074156,"burn","post_18"
"14","burn","post_18",60,"0060-00114",244.717984862947,0.773516248,26.419066709124,77.3846763092308,349.295244129302,"burn","post_18"
"15","burn","post_18",60,"0060-00116",149.705196645433,3.248768241,23.25712440347,58.6633380992007,234.874427389104,"burn","post_18"
"16","burn","post_18",60,"0060-00117",262.680049764128,0.773516248,18.567032806375,93.8184833720337,375.839082190537,"burn","post_18"
"17","burn","post_18",60,"0060-00119",276.414723378137,0,29.91532645779,98.8992489264119,405.229298762339,"burn","post_18"
"18","burn","post_18",340,"0340-00006",182.235228413003,0.607414266,16.105536856333,51.2900740971871,250.238253632523,"burn","post_18"
"19","burn","post_18",340,"0340-00013",159.125708993608,0,33.678921107948,51.9861439703161,244.790774071872,"burn","post_18"
"20","burn","post_18",340,"0340-00024",308.818356479829,0,59.846377150705,33.0133077417828,401.678041372317,"burn","post_18"
"21","burn","post_18",340,"0340-00025",138.876300637277,0,45.19303245744,77.2124402893052,261.281773384022,"burn","post_18"
"22","burn","post_18",340,"0340-00026",81.7427975687073,0,18.541752945795,46.305990632156,146.590541146658,"burn","post_18"
"23","burn","post_18",340,"0340-00103",241.204044526264,3.856182507,68.8972766903615,73.4576507606624,387.415154484288,"burn","post_18"
"24","burn","post_18",340,"0340-00104",171.831863629549,0.773516248,24.451705389235,67.2400533340964,264.29713860088,"burn","post_18"
"25","burn","post_18",340,"0340-00108",124.085739468232,0,24.854519527826,58.1140681209996,207.054327117058,"burn","post_18"
"26","burn","post_18",340,"0340-00109",137.995537403621,0,13.99834501267,79.0736259941077,231.067508410399,"burn","post_18"
"27","burn","post_18",340,"0340-00111",109.630620670922,0.773516248,49.748898007355,46.0273161837286,206.180351110006,"burn","post_18"
"28","burn","post_18",340,"0340-00112",462.602722949519,0,13.74486676036,40.2384898132516,516.58607952313,"burn","post_18"
"29","burn","post_18",340,"0340-00113",185.558412040258,0.230155086,29.6952957006185,45.8420179426765,261.325880769553,"burn","post_18"
"30","burn","post_18",340,"0340-00114",224.871246759644,0.101235711,65.662022490945,59.2022000596051,349.836705021194,"burn","post_18"
"31","burn","post_18",340,"0340-00115",161.274130237324,0.129419375,27.785087880239,75.4371602652148,264.625797757778,"burn","post_18"
"32","burn","post_18",340,"0340-00116",192.722237397674,5e-04,32.349463361881,53.5281190554812,278.600319815036,"burn","post_18"
"33","burn","post_18",340,"0340-00117",180.131664001861,0.128919375,33.819486294373,47.2175466215919,261.297616292825,"burn","post_18"
"34","burn","post_18",340,"0340-00121",241.168707498865,3.856182507,17.84619388254,61.3300257634793,324.201109651884,"burn","post_18"
"35","burn","post_18",340,"0340-00122",153.279150635323,0,26.25733218025,71.5133492954542,251.049832111027,"burn","post_18"
"36","burn","post_18",340,"0340-00123",355.171821123104,0.129419375,4.222514665146,59.7172733292119,419.241028492462,"burn","post_18"
"37","burn","post_18",340,"0340-00124",148.347318798596,0.0126,102.67279089752,66.6585316152636,317.69124131138,"burn","post_18"
"38","burn","post_18",400,"0400-00002",85.8854274704697,0.128919375,30.896058254435,52.5857424657265,169.496147565631,"burn","post_18"
"39","burn","post_18",400,"0400-00009",182.468247316661,0,17.4930732046205,57.3996007137829,257.360921235064,"burn","post_18"
