"treatment","timestep","treatment_factor","timestep_factor","comp","plot_id","tree_carbon_large","tree_carbon","large_percentage","large_percentage_01"
"burn","post_18","burn","post_18",60,"0060-00021",121.738759205429,157.98342068231,77.057933471535,0.77057933471535
"burn","post_18","burn","post_18",60,"0060-00102",123.544541032151,188.202703774577,65.64440284563,0.6564440284563
"burn","post_18","burn","post_18",60,"0060-00103",79.0999543192935,143.424270620799,55.1510242840466,0.551510242840466
"burn","post_18","burn","post_18",60,"0060-00104",70.8962359533677,138.411746992626,51.2212565001036,0.512212565001036
"burn","post_18","burn","post_18",60,"0060-00105",88.2870775970995,167.010846519911,52.8630801153229,0.528630801153229
"burn","post_18","burn","post_18",60,"0060-00107",55.2518728817653,91.0701608132328,60.6695677139257,0.606695677139257
"burn","post_18","burn","post_18",60,"0060-00109",182.175034808424,269.863332143533,67.5064053205753,0.675064053205753
"burn","post_18","burn","post_18",60,"0060-00111",108.545368963383,165.662293156629,65.5220731858135,0.655220731858135
"burn","post_18","burn","post_18",60,"0060-00112",44.1352495134452,152.105901239977,29.0161322826083,0.290161322826083
"burn","post_18","burn","post_18",60,"0060-00113",148.816426543086,175.247970545215,84.9176319018712,0.849176319018712
"burn","post_18","burn","post_18",60,"0060-00114",203.208796432602,244.717984862947,83.0379493956719,0.830379493956719
"burn","post_18","burn","post_18",60,"0060-00116",68.099315018367,149.705196645433,45.4889453033855,0.454889453033855
"burn","post_18","burn","post_18",60,"0060-00117",232.174065110206,262.680049764128,88.3866381625425,0.883866381625425
"burn","post_18","burn","post_18",60,"0060-00119",128.524489971257,276.414723378137,46.496976861625,0.46496976861625
"burn","post_18","burn","post_18",60,"0060-00130",40.0837791253146,129.959022873954,30.8433983565661,0.308433983565661
"burn","post_18","burn","post_18",340,"0340-00006",132.504912608052,182.235228413003,72.7109208038271,0.727109208038271
"burn","post_18","burn","post_18",340,"0340-00013",56.30405445513,159.125708993608,35.3833801032061,0.353833801032061
"burn","post_18","burn","post_18",340,"0340-00024",105.981748640188,308.818356479829,34.3184744094415,0.343184744094415
"burn","post_18","burn","post_18",340,"0340-00025",46.3736396124968,138.876300637277,33.392047022924,0.33392047022924
"burn","post_18","burn","post_18",340,"0340-00103",136.253689930124,241.204044526264,56.4889739712833,0.564889739712833
"burn","post_18","burn","post_18",340,"0340-00104",76.7432143744497,171.831863629549,44.6618064621005,0.446618064621005
"burn","post_18","burn","post_18",340,"0340-00109",54.6156873219225,137.995537403621,39.5778648712224,0.395778648712224
