"","treatment","timestep","treatment_factor","timestep_factor","comp","plot_id","fire_tolerate_carbon","tree_carbon","fire_percentage","fire_percentage_01"
"1","burn","post_18","burn","post_18",60,"0060-00021",55.5732890375335,157.98342068231,35.1766589161823,0.351766589161823
"2","burn","post_18","burn","post_18",60,"0060-00027",0.298063190765516,90.4070113969824,0.329690348303522,0.00329690348303522
"3","burn","post_18","burn","post_18",60,"0060-00102",123.544541032151,188.202703774577,65.64440284563,0.6564440284563
"4","burn","post_18","burn","post_18",60,"0060-00103",21.0463275024819,143.424270620799,14.6741743300383,0.146741743300383
"5","burn","post_18","burn","post_18",60,"0060-00104",27.6697193913684,138.411746992626,19.9908750467852,0.199908750467852
"6","burn","post_18","burn","post_18",60,"0060-00105",42.7388852762297,167.010846519911,25.5904847899411,0.255904847899411
"7","burn","post_18","burn","post_18",60,"0060-00106",37.5219273226654,184.806641725829,20.303343522865,0.20303343522865
"8","burn","post_18","burn","post_18",60,"0060-00107",0.245124463167564,91.0701608132328,0.269160020119287,0.00269160020119287
"9","burn","post_18","burn","post_18",60,"0060-00109",113.556214175801,269.863332143533,42.0791566137644,0.420791566137644
"10","burn","post_18","burn","post_18",60,"0060-00111",54.6970932281378,165.662293156629,33.0172256980792,0.330172256980792
"11","burn","post_18","burn","post_18",60,"0060-00113",67.8523586203467,175.247970545215,38.7179140558665,0.387179140558665
"12","burn","post_18","burn","post_18",60,"0060-00114",138.290135913716,244.717984862947,56.5100010900978,0.565100010900978
"13","burn","post_18","burn","post_18",60,"0060-00117",213.678998265955,262.680049764128,81.3457277999705,0.813457277999705
"14","burn","post_18","burn","post_18",60,"0060-00119",59.317877157854,276.414723378137,21.4597386249599,0.214597386249599
"15","burn","post_18","burn","post_18",60,"0060-00130",12.6453526983413,129.959022873954,9.73026144602968,0.0973026144602968
"16","burn","post_18","burn","post_18",340,"0340-00108",0.450829349661369,124.085739468232,0.363320838956508,0.00363320838956508
"17","burn","post_18","burn","post_18",340,"0340-00109",33.6141800553326,137.995537403621,24.3588891987245,0.243588891987245
"18","burn","post_18","burn","post_18",340,"0340-00112",263.594311330231,462.602722949519,56.9807089870924,0.569807089870924
"19","burn","post_18","burn","post_18",340,"0340-00113",181.725788828564,185.558412040258,97.9345462328799,0.979345462328799
"20","burn","post_18","burn","post_18",340,"0340-00115",34.6832941976598,161.274130237324,21.5058014243334,0.215058014243334
"21","burn","post_18","burn","post_18",340,"0340-00121",71.8390200712974,241.168707498865,29.7878695857072,0.297878695857072
"22","burn","post_18","burn","post_18",340,"0340-00123",252.801579906781,355.171821123104,71.1772626295032,0.711772626295032
"23","burn","post_18","burn","post_18",340,"0340-00124",121.329927431907,148.347318798596,81.7877454169771,0.817877454169771
"24","burn","post_18","burn","post_18",400,"0400-00002",0.997963428306716,85.8854274704697,1.16197061329158,0.0116197061329158
"25","burn","post_18","burn","post_18",400,"0400-00009",46.8151168901927,182.468247316661,25.6565827636566,0.256565827636566
"26","burn","post_18","burn","post_18",400,"0400-00022",42.2429471112017,245.352591609442,17.2172410464875,0.172172410464875
"27","burn","post_18","burn","post_18",400,"0400-00024",43.3374284112874,281.659322044818,15.386470469595,0.15386470469595
"28","burn","post_18","burn","post_18",400,"0400-00101",101.674790545353,176.780290699478,57.5147773222059,0.575147773222059
"29","burn","post_18","burn","post_18",400,"0400-00102",1.6437990917256,125.106754895519,1.31391713668729,0.0131391713668729
"30","burn","post_18","burn","post_18",400,"0400-00103",139.379243362494,237.586869305993,58.6645397406138,0.586645397406138
"31","burn","post_18","burn","post_18",400,"0400-00104",28.8182460038787,146.331447570321,19.6938159789815,0.196938159789815
"32","burn","post_18","burn","post_18",400,"0400-00105",75.2304762265183,302.919706671609,24.8351211788524,0.248351211788524
"33","burn","post_18","burn","post_18",400,"0400-00106",250.303343757397,415.161602051814,60.2905814315068,0.602905814315068
"34","burn","post_18","burn","post_18",400,"0400-00108",222.165928515261,227.004073257026,97.8686969478792,0.978686969478792
