"treatment","comp","plot_id","period","fuels_recovery_rate","surface_carbon","fuels_disturbance"
"burn",60,"0060-00021","Burn_1",1.35789754340829,14.11695551465,-10.226215441483
"burn",60,"0060-00027","Burn_1",-0.837482985493572,20.643863924238,-7.668210258283
"burn",60,"0060-00101","Burn_1",0.682854096269643,22.231429723295,-18.9693219738275
"burn",60,"0060-00102","Burn_1",-0.0395645177045001,23.056406303405,-15.468306152155
"burn",60,"0060-00103","Burn_1",0.661051430207143,24.385357766215,-21.08926933319
"burn",60,"0060-00104","Burn_1",-0.353353971714428,24.34283380138,-19.0772004888
"burn",60,"0060-00105","Burn_1",0.538117384336857,20.981594454295,-20.003208398795
"burn",60,"0060-00106","Burn_1",0.145983669473429,16.90588710728,-14.440910671174
"burn",60,"0060-00107","Burn_1",2.43400039581857,19.032791687375,-8.805070428725
"burn",60,"0060-00108","Burn_1",-0.375294217052357,16.87955726684,-9.516029532082
"burn",60,"0060-00109","Burn_1",0.664406377169072,11.4498270833365,-6.4059435767
"burn",60,"0060-00111","Burn_1",1.32461717734836,25.132678750985,-23.923926880985
"burn",60,"0060-00112","Burn_1",0.0779315216857141,15.98557478574,-9.12335256437
"burn",60,"0060-00113","Burn_1",0.965743678127,18.493193046053,-15.471975551387
"burn",60,"0060-00114","Burn_1",0.955749954622357,17.045519023175,-13.5972008747415
"burn",60,"0060-00116","Burn_1",1.36453468664143,16.88428341186,-15.98906631686
"burn",60,"0060-00117","Burn_1",-0.178353637281714,12.896497990867,-0.750481572804999
"burn",60,"0060-00119","Burn_1",0.941308914585714,19.7148999898,-18.5451583228
"burn",60,"0060-00130","Burn_1",1.30314868119621,22.429811350435,-21.35664177559
"burn",340,"0340-00006","Burn_1",1.40761134121071,3.344660887405,-0.408388591595
"burn",340,"0340-00013","Burn_1",0.269141622625214,13.9799820986015,-9.733228890295
"burn",340,"0340-00024","Burn_1",0.841274691755571,12.9076913362,-8.182868422054
"burn",340,"0340-00025","Burn_1",0.369412871718571,10.5983631688695,-8.0024177431215
"burn",340,"0340-00026","Burn_1",0.130078235994214,5.9936178652605,-3.68200153095
"burn",340,"0340-00103","Burn_1",0.655015478503571,14.443731367095,-14.304288691095
"burn",340,"0340-00104","Burn_1",0.101801506389571,36.94760237496,-35.40951036396
"burn",340,"0340-00108","Burn_1",1.54803999908071,13.490189534404,-9.789819582404
"burn",340,"0340-00109","Burn_1",0.594854418334786,5.469116331853,1.1656727261035
"burn",340,"0340-00111","Burn_1",0.431533503044714,14.626758191545,-14.372470381045
"burn",340,"0340-00112","Burn_1",0.9175925300705,21.56837117146,-18.8731537199735
"burn",340,"0340-00113","Burn_1",0.9607194352975,8.826276989885,-7.878425826385
"burn",340,"0340-00114","Burn_1",0.3696125639645,12.043789734995,-10.477985781919
"burn",340,"0340-00116","Burn_1",0.3757521094575,6.683077404171,-0.1982869686295
"burn",340,"0340-00117","Burn_1",0.614984802532857,8.9958820744485,2.9255590425265
"burn",340,"0340-00121","Burn_1",0.493766621067643,7.461882507895,-7.461882507895
"burn",340,"0340-00123","Burn_1",-0.316277439725286,10.98978786021,-2.496278520635
"burn",340,"0340-00124","Burn_1",0.961670604549571,33.77163635996,-33.63289905846
"burn",400,"0400-00002","Burn_1",0.265237814235214,4.708209250147,1.2645564251615
"burn",400,"0400-00009","Burn_1",0.936417704634428,6.841310683152,-1.604791159163
"burn",400,"0400-00022","Burn_1",0.656846550904286,10.49895505307,-7.09715085882
"burn",400,"0400-00023","Burn_1",1.50141093126814,4.791001037536,-2.040395079393
"burn",400,"0400-00024","Burn_1",1.99613010864571,13.28958970111,-11.92084713386
"burn",400,"0400-00101","Burn_1",1.26336063378671,16.79877231962,-14.791376964542
"burn",400,"0400-00102","Burn_1",1.7802310104,18.13495037595,-17.2967341932
"burn",400,"0400-00103","Burn_1",0.805122879384286,9.9107770888985,-7.4085151871485
"burn",400,"0400-00104","Burn_1",1.02967696391071,15.47644418397,-8.907264863395
"burn",400,"0400-00105","Burn_1",0.589343323596714,10.211629563435,-4.802159837112
"burn",400,"0400-00106","Burn_1",1.15263152521529,15.427328508835,-13.108920955807
"burn",400,"0400-00108","Burn_1",1.21683575107057,11.33708467705,-8.8115117308685
"burn",400,"0400-00109","Burn_1",1.72931242355,13.03828447109,-12.64324740309
"burn",400,"0400-00110","Burn_1",1.06174811321743,18.3672356056,-17.473905674922
"burn",400,"0400-00112","Burn_1",0.823141969140929,12.0447281720995,-10.8429187645995
"burn",400,"0400-00116","Burn_1",2.09259856554357,15.1881994455285,-14.9095950557785
"burn",400,"0400-00118","Burn_1",0.231144887499,1.4891775606875,1.1271511829375
"burn",400,"0400-00119","Burn_1",1.64854987508714,16.78710084122,-15.61304443922
"burn",400,"0400-00120","Burn_1",1.54109277676243,9.0699473082165,-2.2803220860135
"burn",400,"0400-00121","Burn_1",1.08609673070357,10.017848911136,-9.849034672886
"control",40,"0040-00002","Burn_1",-1.2701423956575,15.039939724025,-0.3430850857575
"control",40,"0040-00003","Burn_1",-0.0327295457261669,11.165998687205,-1.576302208075
"control",40,"0040-00005","Burn_1",-0.924050461918334,17.301198050935,7.7026019008375
"control",40,"0040-00007","Burn_1",0.0864692267455001,17.89293201168,-4.37642929175675
"control",40,"0040-00012","Burn_1",-4.7570275349775,11.883912825495,10.78516944836
"control",40,"0040-00101","Burn_1",2.3921490667575,5.8849809976135,-1.18689555897425
"control",40,"0040-00103","Burn_1",-1.49917490840692,27.93668666985,-3.51879419565
"control",40,"0040-00104","Burn_1",-1.91105798335,15.853140041685,6.4999064605925
"control",40,"0040-00105","Burn_1",1.25272162445417,6.24461690943,0.6025722357525
"control",40,"0040-00106","Burn_1",1.98413202022333,10.653024147095,-0.6465143565175
"control",40,"0040-00107","Burn_1",-0.401706083664166,15.2616880646725,-0.34882383265625
"control",40,"0040-00108","Burn_1",-0.976173321025917,12.98398664798,-0.58044178386325
"control",40,"0040-00109","Burn_1",-1.14780567191317,22.16720929128,-4.11616862293075
"control",40,"0040-00110","Burn_1",-0.523454923353166,22.10540329251,-5.352528497955
"control",40,"0040-00111","Burn_1",0.652676148543333,17.170067348755,-6.557514058085
"control",40,"0040-00112","Burn_1",-0.0774705817981669,10.86581052684,-0.652924086172999
"control",40,"0040-00113","Burn_1",0.617596861272083,2.2707152642895,0.37878384383175
"control",40,"0040-00114","Burn_1",1.19027516179917,12.0481899967445,0.00602917996024921
"control",40,"0040-00115","Burn_1",-0.4642931868785,19.018666178255,-4.85974661683525
"control",40,"0040-00116","Burn_1",2.17886751894783,14.92358112837,-3.817790438891
"control",240,"0240-00003","Burn_1",-0.272378288219833,13.7829953621,0.612904288834499
"control",240,"0240-00005","Burn_1",0.149983910254,4.9020815054075,0.579292034418
"control",240,"0240-00007","Burn_1",-0.956220693463333,18.559332856395,0.529602831295
"control",240,"0240-00009","Burn_1",-0.66287299284825,12.95502037363,-1.43894444069
"control",240,"0240-00022","Burn_1",0.371254755370834,12.910337823965,-1.6480167144325
"control",240,"0240-00026","Burn_1",1.71231394872892,15.8140409853225,-3.63271918583475
"control",240,"0240-00101","Burn_1",0.0127296077198332,11.86954798427,-1.71690222349
"control",240,"0240-00102","Burn_1",-2.08630962427333,29.562493226145,-3.6311908262925
"control",240,"0240-00104","Burn_1",-1.21310072545833,22.777351387,-4.575546235125
"control",240,"0240-00105","Burn_1",-3.243970549137,14.617027808545,7.9794450067475
"control",240,"0240-00106","Burn_1",-2.65906402699167,19.70537699572,0.662454126989999
"control",240,"0240-00107","Burn_1",0.790757374448833,10.73485966781,2.6609051898735
"control",240,"0240-00109","Burn_1",0.244481664928333,10.34709778677,-1.011814157005
"control",240,"0240-00110","Burn_1",-1.97217120438158,27.444883238125,-2.659875450915
"control",240,"0240-00112","Burn_1",-0.667898394972833,20.43740228726,-3.788800802869
"control",240,"0240-00113","Burn_1",0.385910714827083,24.59645721603,-1.82409015558625
"control",240,"0240-00114","Burn_1",-0.548780708004167,12.379213071081,1.504827171547
"control",240,"0240-00115","Burn_1",-0.160465447630833,20.70551334788,-0.712414915065001
"control",590,"0590-00005","Burn_1",1.32029484343583,18.959065976495,-2.838881427985
"control",590,"0590-00009","Burn_1",-0.0362246381318334,8.508400146848,1.27346598589125
"control",590,"0590-00013","Burn_1",0.77444962064675,11.68785909876,-2.20146758230025
"control",590,"0590-00021","Burn_1",-3.21178806902333,27.102787219345,0.675097663377498
"control",590,"0590-00101","Burn_1",1.39410002811458,7.582168328445,0.58111714424875
"control",590,"0590-00102","Burn_1",-0.890381126122167,13.5775528061065,-0.75628433823675
"control",590,"0590-00104","Burn_1",0.80111888705975,10.77079925519,-1.93681411975425
"control",590,"0590-00105","Burn_1",-1.0297648854825,9.23277776805,4.226298156025
"control",590,"0590-00106","Burn_1",-0.981311862806667,17.24183576569,0.0644625883274994
"control",590,"0590-00107","Burn_1",-2.00089593111417,16.46254099698,2.130619512045
"control",590,"0590-00109","Burn_1",0.281765128224333,8.97583400905,-0.755928954093
